threshold_bps,offset_bps,stop_loss_bps,spread_bps,total_pnl,num_trades,win_rate,avg_pnl,max_drawdown
0.5,1.0,2.0,0.1,3035914.489215958,335,44.47761194029851,9062.431311092412,14800.0
0.5,1.0,2.0,0.5,3029914.489215958,335,44.47761194029851,9044.520863331218,14800.0
0.5,1.0,2.0,1.0,3022414.489215958,335,44.47761194029851,9022.132803629725,14800.0
0.5,1.0,5.0,0.1,2980414.489215958,335,44.47761194029851,8896.759669301367,37000.0
0.5,1.0,5.0,0.5,2974414.489215958,335,44.47761194029851,8878.849221540173,37000.0
0.5,1.0,5.0,1.0,2966914.489215958,335,44.47761194029851,8856.46116183868,37000.0
0.5,1.0,10.0,0.1,2888282.456922122,335,44.47761194029851,8621.738677379468,75079.10061016213
0.5,1.0,10.0,0.5,2882242.456922122,335,44.47761194029851,8603.7088266332,75399.10061016213
0.5,1.0,10.0,1.0,2874692.456922122,335,44.47761194029851,8581.171513200363,75799.10061016213
0.5,2.0,2.0,0.1,3052218.607753026,335,44.776119402985074,9111.100321650823,14800.0
0.5,2.0,2.0,0.5,3046218.607753026,335,44.47761194029851,9093.189873889629,14800.0
0.5,2.0,2.0,1.0,3038718.607753026,335,44.47761194029851,9070.801814188137,14800.0
0.5,2.0,5.0,0.1,2996718.607753026,335,44.776119402985074,8945.428679859779,37000.0
0.5,2.0,5.0,0.5,2990718.607753026,335,44.47761194029851,8927.518232098584,37000.0
0.5,2.0,5.0,1.0,2983218.607753026,335,44.47761194029851,8905.130172397092,37000.0
0.5,2.0,10.0,0.1,2904773.3181278696,335,44.776119402985074,8670.96512873991,74165.65436484851
0.5,2.0,10.0,0.5,2898693.3181278696,335,44.47761194029851,8652.815875008566,74485.65436484851
0.5,2.0,10.0,1.0,2891110.4573677694,335,44.47761194029851,8630.180469754536,74885.65436484851
0.5,3.0,2.0,0.1,3068522.72629009,335,44.776119402985074,9159.769332209224,14800.0
0.5,3.0,2.0,0.5,3062522.72629009,335,44.776119402985074,9141.85888444803,14800.0
0.5,3.0,2.0,1.0,3055022.72629009,335,44.776119402985074,9119.470824746537,14800.0
0.5,3.0,5.0,0.1,3013118.457813414,335,44.776119402985074,8994.383456159445,37000.0
0.5,3.0,5.0,0.5,3007078.457813414,335,44.776119402985074,8976.353605413176,37000.0
0.5,3.0,5.0,1.0,2999528.457813414,335,44.776119402985074,8953.81629198034,37000.0
0.5,3.0,10.0,0.1,2921299.887645775,335,44.776119402985074,8720.29817207694,74000.0
0.5,3.0,10.0,0.5,2915219.887645775,335,44.776119402985074,8702.148918345598,74000.0
0.5,3.0,10.0,1.0,2907619.887645775,335,44.776119402985074,8679.462351181417,74000.0
0.5,4.0,2.0,0.1,3084826.8448271556,335,44.776119402985074,9208.43834276763,14800.0
0.5,4.0,2.0,0.5,3078826.8448271556,335,44.776119402985074,9190.527895006435,14800.0
0.5,4.0,2.0,1.0,3071326.8448271556,335,44.776119402985074,9168.139835304943,14800.0
0.5,4.0,5.0,0.1,3029536.458259059,335,44.776119402985074,9043.392412713609,37000.0
0.5,4.0,5.0,0.5,3023496.458259059,335,44.776119402985074,9025.36256196734,37000.0
0.5,4.0,5.0,1.0,3015946.458259059,335,44.776119402985074,9002.825248534506,37000.0
0.5,4.0,10.0,0.1,2937917.0644606417,335,44.776119402985074,8769.90168495714,74000.0
0.5,4.0,10.0,0.5,2931797.0644606417,335,44.776119402985074,8751.633028240722,74000.0
0.5,4.0,10.0,1.0,2924147.0644606417,335,44.776119402985074,8728.797207345198,74000.0
0.5,5.0,2.0,0.1,3101154.4587047044,335,44.776119402985074,9257.177488670759,14800.0
0.5,5.0,2.0,0.5,3095130.963364221,335,44.776119402985074,9239.196905564839,14800.0
0.5,5.0,2.0,1.0,3087630.963364221,335,44.776119402985074,9216.808845863347,14800.0
0.5,5.0,5.0,0.1,3045954.4587047044,335,44.776119402985074,9092.401369267774,37000.0
0.5,5.0,5.0,0.5,3039914.4587047044,335,44.776119402985074,9074.371518521506,37000.0
0.5,5.0,5.0,1.0,3032364.4587047044,335,44.776119402985074,9051.83420508867,37000.0
0.5,5.0,10.0,0.1,2954551.9901967905,335,44.776119402985074,8819.558179691912,74000.0
0.5,5.0,10.0,0.5,2948431.9901967905,335,44.776119402985074,8801.289522975494,74000.0
0.5,5.0,10.0,1.0,2940781.9901967905,335,44.776119402985074,8778.453702079973,74000.0
1.0,1.0,2.0,0.1,1233700.1759173332,160,19.1044776119403,3682.687092290547,7200.0
